[[0.009750271, 1.4268692, 0.49310344, 0.34154657, -0.011168858, -0.11054317, 0.0, 0.0], [0, 0, 0], 0.0]
[[0.014625549, 1.4339561, 0.4931205, 0.3149199, -0.016692407, -0.110481404, 0.0, 0.0], [0, 0, 0], 0.20853979661643507]
[[0.01950102, 1.4404433, 0.49313688, 0.28824723, -0.022215256, -0.11046696, 0.0, 0.0], [0, 0, 0], 0.3917446948669294]
[[0.024376774, 1.4463308, 0.4931531, 0.26157632, -0.027737217, -0.11044949, 0.0, 0.0], [0, 0, 0], 0.5404132113640969]
[[0.02925272, 1.4516186, 0.4931694, 0.2349058, -0.033258297, -0.11043175, 0.0, 0.0], [0, 0, 0], 0.648019921760806]
[[0.034128763, 1.456307, 0.4931856, 0.20823531, -0.038778502, -0.11041446, 0.0, 0.0], [0, 0, 0], 0.7078690248626742]
[[0.039004993, 1.4603957, 0.4932018, 0.1815647, -0.044297855, -0.11039697, 0.0, 0.0], [0, 0, 0], 0.7134055257846228]
[[0.043881416, 1.4638847, 0.4932179, 0.15489395, -0.04981632, -0.11037954, 0.0, 0.0], [0, 0, 0], 0.6582100684596526]
[[0.04875803, 1.4667742, 0.49323392, 0.12822308, -0.055333927, -0.11036216, 0.0, 0.0], [0, 0, 0], 0.5362337836370443]
[[0.053634834, 1.469064, 0.49324983, 0.10155206, -0.060850665, -0.11034485, 0.0, 0.0], [0, 0, 0], 0.34200381445134553]
[[0.05851183, 1.4707544, 0.49326572, 0.07488094, -0.066366546, -0.11032762, 0.0, 0.0], [0, 0, 0], 0.070743459546037]
[[0.06338902, 1.4718448, 0.4932815, 0.04820961, -0.07188156, -0.11031041, 0.0, 0.0], [0, 0, 0], -0.28136682324571893]
[[0.06826639, 1.4723358, 0.49329725, 0.021538157, -0.077395715, -0.110293284, 0.0, 0.0], [0, 0, 0], -0.7171649873874912]
[[0.07314396, 1.4722271, 0.4933129, -0.0051334403, -0.08290902, -0.11027626, 0.0, 0.0], [0, 0, 0], -1.238270815664123]
[[0.07802162, 1.4715185, 0.49332842, -0.031805146, -0.0884215, -0.11025926, 0.0, 0.0], [0, 0, 0], -1.8450758004440218]
[[0.08289957, 1.4702103, 0.4933439, -0.05847695, -0.093933105, -0.110242344, 0.0, 0.0], [0, 0, 0], -2.5367420847904327]
[[0.08777771, 1.4683026, 0.49335927, -0.0851488, -0.09944389, -0.11022552, 0.0, 0.0], [0, 0, 0], -3.3112337040521425]
[[0.09265594, 1.465795, 0.4933746, -0.111820765, -0.104953825, -0.11020873, 0.0, 0.0], [0, 0, 0], -4.165331407424333]
[[0.09753456, 1.462688, 0.4933898, -0.13849285, -0.11046293, -0.11019198, 0.0, 0.0], [0, 0, 0], -5.094890348376623]
[[0.10241318, 1.4589813, 0.49340492, -0.16516504, -0.115971185, -0.11017531, 0.0, 0.0], [0, 0, 0], -6.094881579071426]
[[0.10729208, 1.454675, 0.49341995, -0.19183737, -0.12147865, -0.110158704, 0.0, 0.0], [0, 0, 0], -7.159660122845224]
[[0.11217117, 1.4497688, 0.49343485, -0.21850984, -0.12698527, -0.11014215, 0.0, 0.0], [0, 0, 0], -8.28303566342754]
[[0.117050454, 1.444263, 0.4934497, -0.24518238, -0.13249107, -0.110125706, 0.0, 0.0], [0, 0, 0], -9.458609226328122]
[[0.12192984, 1.4381576, 0.4934644, -0.27185506, -0.13799605, -0.11010933, 0.0, 0.0], [0, 0, 0], -10.679782768490213]
[[0.12680206, 1.4314432, 0.4931426, -0.29897732, -0.14390272, -0.11813587, 0.0, 0.0], [0, 0, 0], -11.973731572368791]
[[0.13167973, 1.4241172, 0.49328318, -0.32614052, -0.14940712, -0.11008799, 0.0, 0.0], [0, 0, 0], -13.304134124844978]
[[0.13655739, 1.4161918, 0.49328265, -0.35280976, -0.1549115, -0.11008769, 0.0, 0.0], [0, 0, 0], -14.623026822551168]
[[0.14143506, 1.4076667, 0.49328208, -0.37947893, -0.16041589, -0.110087715, 0.0, 0.0], [0, 0, 0], -15.962079063388245]
[[0.1463128, 1.3985418, 0.4932815, -0.4061481, -0.16592026, -0.11008762, 0.0, 0.0], [0, 0, 0], -17.315614409260718]
[[0.15119067, 1.3888175, 0.49328095, -0.4328173, -0.17142464, -0.11008759, 0.0, 0.0], [0, 0, 0], -18.678315030527642]
[[0.15606852, 1.3784935, 0.49328032, -0.45948645, -0.176929, -0.11008717, 0.0, 0.0], [0, 0, 0], -20.04518224358071]
[[0.16094646, 1.3675699, 0.49327964, -0.48615563, -0.18243334, -0.11008666, 0.0, 0.0], [0, 0, 0], -21.411629950165377]
[[0.16582441, 1.3560468, 0.49327898, -0.51282483, -0.18793763, -0.11008593, 0.0, 0.0], [0, 0, 0], -22.77339559597428]
[[0.17070246, 1.343924, 0.49327826, -0.539494, -0.19344193, -0.110085845, 0.0, 0.0], [0, 0, 0], -24.126601389980067]
[[0.1755805, 1.3312017, 0.49327755, -0.5661631, -0.19894621, -0.1100858, 0.0, 0.0], [0, 0, 0], -25.467671675062604]
[[0.18045874, 1.3178797, 0.49327677, -0.59283227, -0.20445049, -0.11008557, 0.0, 0.0], [0, 0, 0], -26.793388903013067]
[[0.18533687, 1.3039582, 0.49327606, -0.61950135, -0.20995477, -0.110085346, 0.0, 0.0], [0, 0, 0], -28.10080587881197]
[[0.1902152, 1.289437, 0.49327525, -0.6461705, -0.21545902, -0.11008513, 0.0, 0.0], [0, 0, 0], -29.387276754660718]
[[0.19509354, 1.2743161, 0.49327445, -0.6728396, -0.22096328, -0.11008489, 0.0, 0.0], [0, 0, 0], -30.650394112996082]
[[0.19997187, 1.2585957, 0.49327368, -0.6995087, -0.22646752, -0.11008467, 0.0, 0.0], [0, 0, 0], -31.888059177663763]
