[[-0.008512592, 1.4306328, -0.43053007, 0.42518696, 0.009764146, 0.09652113, 0.0, 0.0], [0, 0, 0], 0.0]
[[-0.012769317, 1.4396014, -0.43054503, 0.3985682, 0.0145867895, 0.09646197, 0.0, 0.0], [0, 0, 0], 0.45650921022286184]
[[-0.017026043, 1.4479703, -0.4305593, 0.37189618, 0.019408844, 0.09644984, 0.0, 0.0], [0, 0, 0], 0.910220805234303]
[[-0.021283055, 1.4557394, -0.43057346, 0.34522542, 0.024230141, 0.09643469, 0.0, 0.0], [0, 0, 0], 1.3509914553984288]
[[-0.025540162, 1.4629089, -0.4305877, 0.31855538, 0.029050667, 0.09641959, 0.0, 0.0], [0, 0, 0], 1.7720023942232501]
[[-0.029797554, 1.4694786, -0.4306019, 0.29188544, 0.033870414, 0.09640379, 0.0, 0.0], [0, 0, 0], 2.1659479409532025]
[[-0.034054946, 1.4754486, -0.43061605, 0.26521534, 0.038689397, 0.09638855, 0.0, 0.0], [0, 0, 0], 2.524998806940829]
[[-0.038312625, 1.4808189, -0.43063015, 0.23854518, 0.043507636, 0.096373506, 0.0, 0.0], [0, 0, 0], 2.8408698085405035]
[[-0.0425704, 1.4855895, -0.43064418, 0.2118749, 0.04832512, 0.09635848, 0.0, 0.0], [0, 0, 0], 3.104986508832013]
[[-0.04682827, 1.4897603, -0.43065816, 0.1852045, 0.05314186, 0.09634348, 0.0, 0.0], [0, 0, 0], 3.3086147626711124]
[[-0.051086426, 1.4933312, -0.43067208, 0.15853402, 0.05795785, 0.09632857, 0.0, 0.0], [0, 0, 0], 3.443044395391837]
[[-0.05534468, 1.4963026, -0.43068594, 0.13186343, 0.06277309, 0.09631367, 0.0, 0.0], [0, 0, 0], 3.499833106494947]
[[-0.059603117, 1.498674, -0.43069974, 0.105192736, 0.06758759, 0.09629883, 0.0, 0.0], [0, 0, 0], 3.4711313957400307]
[[-0.06386175, 1.5004458, -0.43071342, 0.07852195, 0.07240137, 0.09628403, 0.0, 0.0], [0, 0, 0], 3.3499227633795385]
[[-0.06812048, 1.5016179, -0.43072706, 0.05185101, 0.0772144, 0.09626929, 0.0, 0.0], [0, 0, 0], 3.130396897978727]
[[-0.072379306, 1.5021902, -0.43074065, 0.02517995, 0.08202669, 0.096254595, 0.0, 0.0], [0, 0, 0], 2.8081723824648748]
[[-0.076638415, 1.5021628, -0.43075413, -0.0014912231, 0.08683826, 0.09623997, 0.0, 0.0], [0, 0, 0], 2.380586407239889]
[[-0.080897614, 1.5015357, -0.4307676, -0.028162476, 0.0916491, 0.096225396, 0.0, 0.0], [0, 0, 0], 1.8467742776707894]
[[-0.085157014, 1.5003088, -0.43078098, -0.054833807, 0.0964592, 0.09621091, 0.0, 0.0], [0, 0, 0], 1.2077815725785115]
[[-0.0894166, 1.498482, -0.4307943, -0.08150519, 0.1012686, 0.09619648, 0.0, 0.0], [0, 0, 0], 0.4664598673767273]
[[-0.093676284, 1.4960555, -0.43080753, -0.10817667, 0.106077276, 0.096182056, 0.0, 0.0], [0, 0, 0], -0.37269913063886406]
[[-0.09793615, 1.4930292, -0.43082064, -0.13484825, 0.11088523, 0.096167736, 0.0, 0.0], [0, 0, 0], -1.3037373857788737]
[[-0.10219622, 1.4894034, -0.43083373, -0.16151993, 0.115692474, 0.09615349, 0.0, 0.0], [0, 0, 0], -2.319608282351993]
[[-0.10645647, 1.4851776, -0.4308467, -0.18819168, 0.12049902, 0.0961393, 0.0, 0.0], [0, 0, 0], -3.412395932258619]
[[-0.11071501, 1.480331, -0.4306857, -0.21581036, 0.12530538, 0.09612727, 0.0, 0.0], [0, 0, 0], -4.598389576382544]
[[-0.114973545, 1.4748844, -0.43068534, -0.24247895, 0.13011174, 0.096127145, 0.0, 0.0], [0, 0, 0], -5.820616823082759]
[[-0.11923218, 1.4688382, -0.43068495, -0.26914755, 0.1349181, 0.096126966, 0.0, 0.0], [0, 0, 0], -7.093828622883677]
[[-0.12349091, 1.4621923, -0.43068457, -0.29581612, 0.13972445, 0.09612675, 0.0, 0.0], [0, 0, 0], -8.409545062864225]
[[-0.12774953, 1.4549468, -0.43068418, -0.3224847, 0.14453077, 0.09612654, 0.0, 0.0], [0, 0, 0], -9.759617963399705]
[[-0.13200817, 1.4471016, -0.4306838, -0.3491533, 0.14933708, 0.09612636, 0.0, 0.0], [0, 0, 0], -11.136340193066331]
[[-0.1362668, 1.4386566, -0.43068337, -0.37582192, 0.1541434, 0.096126184, 0.0, 0.0], [0, 0, 0], -12.532486135532565]
[[-0.14052553, 1.4296119, -0.430683, -0.4024905, 0.15894969, 0.096126005, 0.0, 0.0], [0, 0, 0], -13.941406264238964]
[[-0.14478426, 1.4199677, -0.4306825, -0.42915908, 0.163756, 0.096126154, 0.0, 0.0], [0, 0, 0], -15.356925074610757]
[[-0.14904308, 1.4097235, -0.43068203, -0.45582765, 0.16856228, 0.096125975, 0.0, 0.0], [0, 0, 0], -16.77345187066129]
[[-0.1533018, 1.3988799, -0.43068156, -0.48249623, 0.17336857, 0.096125804, 0.0, 0.0], [0, 0, 0], -18.185892737743472]
[[-0.15756074, 1.3874364, -0.43068105, -0.5091648, 0.17817485, 0.09612571, 0.0, 0.0], [0, 0, 0], -19.589618919168203]
[[-0.16181965, 1.3753933, -0.4306805, -0.5358334, 0.18298113, 0.09612555, 0.0, 0.0], [0, 0, 0], -20.980505528944263]
[[-0.16607857, 1.3627504, -0.43067998, -0.5625019, 0.18778741, 0.096125364, 0.0, 0.0], [0, 0, 0], -22.35477250016737]
[[-0.17033748, 1.349508, -0.43067947, -0.5891704, 0.19259368, 0.096125245, 0.0, 0.0], [0, 0, 0], -23.709102911076343]
[[-0.1745965, 1.3356658, -0.43067893, -0.615839, 0.19739993, 0.096125126, 0.0, 0.0], [0, 0, 0], -25.040479282725244]
[[-0.17885561, 1.3212239, -0.43067837, -0.64250755, 0.20220618, 0.09612496, 0.0, 0.0], [0, 0, 0], -26.34620629111737]
[[-0.18311472, 1.3061823, -0.43067774, -0.6691761, 0.2070124, 0.09612478, 0.0, 0.0], [0, 0, 0], -27.623927744708794]
[[-0.18737392, 1.2905409, -0.43067712, -0.69584465, 0.21181864, 0.09612456, 0.0, 0.0], [0, 0, 0], -28.87150514485873]
